id,first_name,middle_name,last_name,birth_date,gender,document_id,current_status,enrollment_date,graduation_date,phone_number
1,Игорь,Виленович,Кабанова,2015-02-23,male,8648 540936,enrolled,2010-09-01,,+73134914164
2,Лора,Владиславович,Сазонова,2007-08-19,female,9817 343883,enrolled,2010-09-01,,+75984565133
3,Нина,Дмитриевич,Костина,2019-06-25,female,6316 829179,enrolled,2010-09-01,,+73638242417
4,Евгения,Иларионович,Данилова,2008-12-20,female,5428 430997,enrolled,2010-09-01,,+74378396656
5,Ульян,Викентьевич,Суханов,2010-12-29,male,3785 242447,enrolled,2010-09-01,,+78016329951
6,Чеслав,Жоресович,Савина,2010-03-10,male,6042 274552,enrolled,2010-09-01,,+79038966411
7,Кира,Юлианович,Шилова,2010-04-16,female,1763 988417,enrolled,2010-09-01,,+70021239026
8,Николай,Архипович,Потапов,2010-10-13,male,7023 272638,enrolled,2010-09-01,,+73469041219
9,Феврония,Оскаровна,Буров,2014-09-19,female,9456 615799,enrolled,2010-09-01,,+74874685082
10,Наталья,Ждановна,Дьячкова,2013-02-08,female,2551 987721,enrolled,2010-09-01,,+70769249539
11,Потап,Афанасьевич,Мухин,2015-05-27,male,3134 609660,enrolled,2010-09-01,,+73156687326
12,Фирс,Фомич,Самойлова,2014-12-04,male,1188 931422,enrolled,2010-09-01,,+76186549954
13,Александра,Германович,Котов,2014-04-07,female,1196 182558,enrolled,2010-09-01,,+76201565373
14,Любим,Валентинович,Воронцова,2010-03-13,male,9268 890988,enrolled,2010-09-01,,+76580942240
15,Нестор,Филатович,Романова,2009-11-20,male,8792 303611,enrolled,2010-09-01,,+76367780984
16,Синклитикия,Тимофеевна,Кудряшова,2011-06-30,female,2221 130766,enrolled,2010-09-01,,+76010437970
17,Гедеон,Дмитриевна,Гордеев,2016-05-02,male,5564 898710,enrolled,2010-09-01,,+79775537595
18,Марфа,Димитриевич,Большакова,2008-04-27,female,7254 964832,enrolled,2010-09-01,,+70339918802
19,Аполлинарий,Анатольевна,Галкин,2008-03-11,male,9784 222141,enrolled,2010-09-01,,+73169608371
20,Клавдий,Игоревич,Юдин,2007-09-28,male,4872 942691,enrolled,2010-09-01,,+70633033316
21,Варвара,Матвеевна,Шубин,2012-06-21,female,9695 856537,enrolled,2010-09-01,,+77371831897
22,Ульяна,Робертовна,Куликова,2009-02-12,female,6027 198713,enrolled,2010-09-01,,+70097790924
23,Марк,Николаевна,Костин,2012-09-28,male,5035 614391,enrolled,2010-09-01,,+73332191934
24,Спиридон,Трифонович,Казакова,2009-07-28,male,6109 115790,enrolled,2010-09-01,,+79932297021
25,Аверкий,Арсенович,Мамонтов,2015-12-18,male,4550 468790,enrolled,2010-09-01,,+74522261652
26,Ярополк,Германович,Щербаков,2007-10-05,male,2207 861680,enrolled,2010-09-01,,+75303202781
27,Пров,Юрьевна,Селиверстов,2008-08-16,male,8286 208003,enrolled,2010-09-01,,+70129759908
28,Алла,Игнатьевич,Федосеева,2010-04-09,female,7706 542788,enrolled,2010-09-01,,+76425514067
29,Любосмысл,Афанасьевич,Соколова,2009-02-10,male,5375 397603,enrolled,2010-09-01,,+78882129452
30,Аполлинарий,Мироновна,Жданова,2012-02-06,male,4958 419981,enrolled,2010-09-01,,+76912201421
31,Ия,Петровна,Бурова,2009-03-05,female,3140 159454,enrolled,2010-09-01,,+72570158065
32,Мстислав,Владиленович,Тарасов,2009-09-05,male,8069 443180,enrolled,2010-09-01,,+74412454006
33,Ян,Владимировна,Воробьева,2013-10-08,male,8087 866983,enrolled,2010-09-01,,+74024718803
34,Валерьян,Бориславович,Тихонов,2011-11-11,male,2658 941942,enrolled,2010-09-01,,+77493143159
35,Чеслав,Никифоровна,Фадеев,2014-04-21,male,5228 393920,enrolled,2010-09-01,,+74480536868
36,Кир,Даниловна,Журавлева,2010-06-02,male,1646 292000,enrolled,2010-09-01,,+71231625588
37,Наталья,Зиновьевич,Никитин,2008-11-24,female,7321 119191,enrolled,2010-09-01,,+75663011626
38,Нинель,Харлампович,Голубев,2008-07-07,female,9048 558239,enrolled,2010-09-01,,+77064053098
39,Екатерина,Юлианович,Данилов,2008-10-15,female,5017 294424,enrolled,2010-09-01,,+70943552557
40,Милован,Святославовна,Федорова,2012-03-29,male,8433 540647,enrolled,2010-09-01,,+70670551410
41,Фортунат,Аркадьевна,Исаева,2010-04-02,male,9944 762942,enrolled,2010-09-01,,+76725631389
42,Кузьма,Владимировна,Носкова,2015-09-18,male,8109 658668,enrolled,2010-09-01,,+71806539915
43,Гедеон,Трифонович,Григорьев,2009-12-03,male,4001 400982,enrolled,2010-09-01,,+71469702182
44,Мечислав,Ерофеевич,Соколова,2009-06-20,male,1009 132702,enrolled,2010-09-01,,+75733594970
45,Адам,Григорьевна,Калашников,2011-02-15,male,1149 669614,enrolled,2010-09-01,,+76022913373
46,Алла,Тимурович,Щербакова,2016-01-03,female,7320 790779,enrolled,2010-09-01,,+74127475274
47,Петр,Максимовна,Кошелев,2007-10-13,male,7806 288105,enrolled,2010-09-01,,+72515319138
48,Нонна,Устинович,Павлова,2014-09-15,female,9703 817599,enrolled,2010-09-01,,+79317895025
49,Фока,Ильинична,Тарасов,2010-05-25,male,8809 683499,enrolled,2010-09-01,,+73849251052
50,Фрол,Ермилович,Михеев,2013-04-21,male,5440 721699,enrolled,2011-09-01,,+73502916046
51,Раиса,Семеновна,Николаева,2009-03-08,female,8771 740951,enrolled,2011-09-01,,+73210503452
52,Филарет,Евстигнеевич,Соловьев,2014-08-26,male,4212 246797,enrolled,2011-09-01,,+72230351103
53,Маргарита,Вениаминовна,Щербаков,2009-04-25,female,8275 121872,enrolled,2011-09-01,,+79788593213
54,Устин,Герасимович,Одинцов,2015-05-10,male,1694 388417,enrolled,2011-09-01,,+76033041911
55,София,Давидович,Титов,2013-01-16,female,8006 581303,enrolled,2011-09-01,,+76731013950
56,Полина,Феодосьевич,Иванова,2012-05-16,female,8328 935104,enrolled,2011-09-01,,+78731109487
57,Лукия,Дорофеевич,Маслова,2010-01-28,female,7761 946046,enrolled,2011-09-01,,+71357620803
58,Наина,Борисовна,Аксенова,2018-04-22,female,4889 139095,enrolled,2011-09-01,,+71554627698
59,Демид,Андреевна,Белов,2015-02-22,male,3963 542440,enrolled,2011-09-01,,+76320680895
60,Влас,Валерьевич,Гурьев,2016-08-19,male,9513 721283,enrolled,2011-09-01,,+77911358685
61,Галина,Иосифович,Афанасьева,2007-08-18,female,9687 906835,enrolled,2011-09-01,,+79271835748
62,Лукия,Андреевна,Князева,2010-07-05,female,4013 762292,enrolled,2011-09-01,,+76703405047
63,Георгий,Гордеевич,Никифорова,2012-09-19,male,8969 112583,enrolled,2011-09-01,,+75281923183
64,Исай,Демидович,Королева,2011-02-04,male,9028 458796,enrolled,2011-09-01,,+71260621810
